노래제목,가수,가사,대표 감정
내 사람: Partner For Life,SG 워너비,내 가슴 속에 사는 사람 내가 그토록 아끼는 사람 너무 소중해 마음껏 안아보지도 못했던 누구에게나 흔한 행복 한번도 준 적이 없어서 맘 놓고 웃어본 적도 없는 그댈 사랑합니다 내가 기쁠 때나 슬플 때나 함께 울고 웃어주던 그댈 위해 내가 할 수 있는건 뭐든 해주고 싶어 안녕 내사랑 그대여 이젠 내가 지켜줄게요 못난 날 믿고 참고 기다려줘서 고마워요 안녕 내사랑 그대여 영원토록 사랑할게요 다시 태어나서 사랑한대도 그대이고 싶어요 어두운 밤 길을 잃어도 서로 등불이 되어주고 비바람 몰아쳐도 지금 잡은 두손 놓지 말아요 내가 힘들 때나 아플 때나 내 곁에 있어준 그대 미안하단 말로 고맙단 말을 대신 하던 나였죠 안녕 내사랑 그대여 이젠 내가 지켜줄게요 못난 날 믿고 참고 기다려줘서 고마워요 안녕 내사랑 그대여 영원토록 사랑할게요 다시 태어나서 사랑한대도 그대이고 싶어요 넘어지고 몇 번을 다시 넘어진다 해도 그대만 있다면 다시 일어날 수 있는데 안녕 내사랑 그대여 이젠 내가 지켜줄게요 못난 날 믿고 참고 기다려줘서 고마워요 안녕 내사랑 그대여 이렇게 그댈 부를 때면 너무 행복해서 눈물이 나죠 사랑해요,슬픔
사랑 안해,백지영,그럴려고 그랬어 돌아가려고 너의 차가움엔 그래 다 이유 있었던거야 나를 만지는 너의 손길 없어진 이제야 깨닫게 되었어 네맘 떠나간 것을 설마하는 그런 미련 때문에 그래도 나는 나를 위로해 나 이제 이러는 내가 더 가여워 이제라도 널 지울꺼야 기억의 모두를 이제 다시 사랑안해 말하는 난 너와 같은 사람 다시 만날 수가 없어서 사랑할 수 없어서 바보처럼 사랑 안해 말하는 널 사랑한다 나를 잊길바래 나를 지워줘 바보처럼 몰랐어 너희 두 사람 아직 기억하려던 그건 그래 다 욕심이야 다짐했건만 매일 아침 눈을 떠 지나간 너에게 기도해 나를 잊지 말라고 제발 지금 내가 바라는 하나 내 얘길 너무 쉽게 하진마 차라리 나를 모른다고 말해줘 시간지나 알게 될꺼야 내 사랑의 가치를 이제 다시 사랑안해 말하는 난 너와 같은 사람 다시 만날 수가 없어서 사랑할 수 없어서 바보처럼 사랑안해 말하는 널 사랑한다 나를 잊길 바래 나를 지워줘 내가 없는 내가 아닌 그 자리에 사랑 채우지마 혹시 만날 수가 있다면 사랑 할 수 있다면 아프잖아 사랑한 널 지켜보며 사랑한단 그 말 한마디를 하지 못해서,슬픔
여인의 향기,씨야,잘 지내 보여요 그대 얼굴은 날 잊고 잘 사는 듯 하죠 그런 그대가 얼마나 미운지 얼마나 서운했는지 난 겁이 많아서 혼자란게 싫어서 그대 없이 난 안되네요 머리는 그댈 쉽게 잊어내도 가슴은 그댈 다시 데려오네요 사랑했었나 봐 지우지 못하나 봐 힘들었던 일들만 떠올려도 좋았던 기억만 다시 찾아와 나를 더 아프게 하죠 어떡하나요 사랑하고 싶은데 죽을 만큼 너무 보고 싶은데 세상에 가장 하고픈 말 애써 참아볼게요 가슴 아파도 나 웃네요 눈물이 많아서 가슴이 참 약해서 웃는 법도 잘 몰랐는데 그대 때문에 행복을 배웠고 그대 때문에 사랑을 알았는데 사랑했었나 봐 지우지 못하나 봐 힘들었던 일들만 떠올려도 좋았던 기억만 다시 찾아와 나를 더 아프게 하죠 어떡하나요 사랑하고 싶은데 죽을 만큼 너무 보고 싶은데 세상에 가장 하고픈 말 그대를 사랑해요 이제는 그만 됐다고 잊어줄 때도 된 것만 같다고 두 눈이 먼다면 심장이 멈추면 될까요 사랑했던 만큼 그리워한 날 만큼 그댈 보내주는 것도 힘든데 내가 얼마나 더 잊어야 하죠 얼마나 더 아파야죠 멀어져 가지만 다시는 못 보지만 그댈 위한 내 마지막 선물은 그대 편히 갈 수 있도록 애써 웃어보인 일 오늘도 그대 행복에 살죠,슬픔
남자를 몰라,버즈,매번 늦어도 이해 할게 누굴 만났니 먼저 묻지 않을게 고집스런 내 사랑 너의 말은 변명이라도 믿고 싶을테니 눈 비비는척 눈물 닦아내고 다음 약속도 잡을 이유 만들지 네 맘보다 한숨과 친해져도 널 보기위해 난 사니까 수없이 어긋난대도 기다릴게 아무리 가슴아파도 웃어볼게 떠나선 안돼 서둘러 저버리진 마 날 밀어내도 깊어지는 이 사랑을 봐 내 입을 막아도 세상이 다 아는데 왜 너만 몰라 왜 널 지킬 남자를 몰라 잊어보려고 해도 소용없어 하루도 못 가 너만 또 찾는 나인걸 혼자가 더 좋다는 슬픈 네 말 눈물이 자꾸 지워버려 수없이 어긋난대도 기다릴게 아무리 가슴아파도 웃어볼게 떠나선 안돼 서둘러 저버리진 마 날 밀어내도 깊어지는 이 사랑을 봐 내 입을 막아도 세상이 다 아는데 왜 너만 몰라 왜 널 지킬 남자를 몰라 네 맘에 누가 있든 괜찮아 한번쯤 못 이긴 척 돌아봐 보여줄게 더 많아 쉽게 보낼 수 없어 가지마 널 원해야만 견뎌내는 내 가슴이야 날마다 울어도 볼 때마다 행복해 왜 너만 몰라 왜 강한 내 사랑을 몰라,슬픔
LOVE ALL,gavy nj project group [H7美人(미인)],내 어깨를 떠밀어도 소리쳐봐도 소용없어 어떻게 널 잊어 너라면 잊겠니 어떤 사랑인데 내 욕심이 더 자라면 너를 다치게 할지몰라 날 보내준다던 바보같은 이별의 말 되풀이하던 너 날 웃게 한사람 날 지켜준 한사람 바보야 너란걸 모르니 내가 아파도 내가 기뻐도 내겐 한결같은 너였잖아 날 울게 한사람 날 사랑한 한사람 죽어도 잊지 못할 사람 다음 세상의 인연이 너라면 난 그곳에서 널 기다릴게 결국 끝내고 말것을 우린 미친듯 사랑했어 천번을 물어도 내 전분 너 하나뿐야 내게 고백하던 날 웃게 한사람 날 지켜준 한사람 바보야 너란걸 모르니 내가 아파도 내가 기뻐도 내겐 한결같은 너였잖아 날 울게 한사람 날 사랑한 한사람 죽어도 잊지 못할 사람 다음 세상의 인연이 너라면 난 그곳에서 널 기다릴게 울지말라고 잊고살라고 너만 내곁에 있으면 돼 다시 애원해도 너의 뒷모습만 점점 작아져가는데 행복해야돼 다른 사랑 만나서 모질게 날 떠나간만큼 울며 보채고 잡고 싶지만 어차피 버려질 나였잖아 날 울게 한사람 날 사랑한 한사람 죽어도 잊지 못할 사람 다음 세상의 인연이 너라면 난 그곳에서 널 기다릴게,기쁨
Hold the line,"조pd (ZoPD), 브라운아이드걸스","nu music for summer 2 double O 6 most wanted writers both industry , in the street listener listen up its B.E.G, cho pd on a new hit I.S bebe wit 조pd we want it all bebe 첨에는 여자는 여자답게 남자라면 리드해 남자답게 삼팔선을 긋는 건 여자들의 선택 넘 어려워 (give it , to me) 선은 넘어 가라고 그어졌고 룰은 깨어지기 위해 만들어졌어 그걸 가르쳐야 아니 밀고 넘어지는 줄다리기 걱정 마 아무나 못 넘봐 십 분만 주면 바람 피우는 저 여잔 거리가 멀거든 i think i love you u must love me babe 너무 오래 끌면 졸릴지 몰라 너무 빠르면 나 놀랄지 몰라 진정 날 아낀다면 그 맘을 담아 내게 보여줘 너무 오래 끌면 졸릴지 몰라 차라리 좀 빠른게 더 낫겠어 진정 사랑 한다면 그 사랑을 모두 다 쏟아줘 그녀는 얄미운 나비 검은 고양이 진도 좀 나가려면 그녀는 나의 바비 난 고추 잠자리 너와 나 단 둘이서 그러나 장담 못해 오 난 못해 실패하면 그냥 장난 ok? 이건 도박 그 시작과 끝이 넘 불분명해 칼을 빼면 무라도 썰어야지 남자답다는게 사실 뭐가 별거니 벽에 부딪히면 물러서는 것이 남자다운 거니 선은 넘어가라고 그어졌고 룰은 깨어지기 위해 존재해 꼭 가르쳐야 아니 밀고 넘어지는 줄다리기 걱정마 아무나 못 넘봐 십 분만 주면 바람 피우는 저 여잔 거리가 멀거든 i think i love you u must love me babe 너무 오래 끌면 졸릴지 몰라 너무 빠르면 난 놀랄지 몰라 진정 날 아낀다면 그 맘을 담아 내게 보여줘 너무 오래 끌면 졸릴지 몰라 차라리 좀 빠른 게 더 낫겠어 진정 사랑 한다면 그 사랑을 모두 다 쏟아줘 너무 오래 끌면 졸릴지 몰라 너무 빠르면 나 놀랄지 몰라 진정 날 아낀다면 그 맘을 담아 내게 보여줘 너무 오래 끌면 졸릴지 몰라 차라리 좀 빠른 게 더 낫겠어 진정 사랑 한다면 그 사랑을 모두 다 쏟아줘 I want you 알아 늑대들의 맘 I need you 그건 늑대들의 말 I love you 그런 입에 발린 말들은 너무 쉽게 보는 거야 여자들의 맘 I want you 알아 늑대들의 맘 I need you 그건 늑대들의 말 I love you 그런 입에 발린 말들은 너무 쉽게 보는 거야 여자들의 맘 너무 쉽게 보는 거야 여자들의 맘 너무 쉽게 보는 거야 여자들의 맘 날 얻기를 원한다면 좀 더 보여줘",놀라움
까만안경 (Feat. Day Light),"이루, Daylight",까만 안경을 써요 아주 까만 밤인데 말이죠 앞이 보이지 않아도 괜찮아요 나는 울고 싶을 뿐이죠 한 여자가 떠나요 너무나 사랑했었죠 그래요 내 여자에요 내 가슴 속에서 울고 있는 여자 사랑해요 나도 울고 있어요 오 난 보고 싶어서 만나고 싶어서 차라리 죽고만 싶어요 미안해요 잘해주지 못한 나지만 이별까지도 사랑할거에요 행복한 사람이 되어주세요 제발요 한 여자가 떠나요 너무나 사랑했었죠 그래요 내 여자에요 내 가슴 속에서 울고 있는 여자 사랑해요 나도 울고 있어요 오 난 보고 싶어서 만나고 싶어서 차라리 죽고만 싶어요 미안해요 잘해주지 못한 나지만 이별까지도 사랑할거에요 행복한 사람이 되어주세요 사랑해요 나도 울고 있어요 난 보고 싶어서 만나고 싶어서 차라리 죽고만 싶어요 미안해요 잘해주지 못한 나지만 이별까지도 사랑할거에요 행복한 사람이 되어주세요 제발요,슬픔
그 남자 그 여자 (Feat. 장혜진),바이브,혹시 니가 다시 돌아올까봐 다른 사랑 절대 못해 남잘 울렸으면 책임져야지 니가 뭘 알아 남자의 마음을 모든걸 다 주니까 떠난다는 그 여자 내 전부를 다 가져간 그 여자 한때는 내가 정말 사랑했던 그 여자 다 믿었었어 바보같이 여자는 다 똑같나봐 혹시 니가 다시 돌아올까봐 다른 사랑 절대 못해 여잘 울렸으면 책임져야지 니가 뭘 알아 여자의 마음을 모든걸 다 주니까 떠난다는 그 남자 내 전부를 다 가져간 그 남자 한때는 내가 정말 사랑했던 그 남자 다 믿었었어 바보같이 남자는 다 똑같나봐 우린 미치도록 사랑했었지 우린 미치도록 사랑했었지 모든걸 다 주니까 떠난다는 그 남자 내 마음하나 몰라주는 그 남자 한때는 내가 정말 사랑했던 그 남자 다 믿었었어 바보같이 그땐 사랑이 이별인줄 모르고 그런줄도 모르고 다 믿었었어 우리둘이,중립
하기 힘든 말,이승기,우리 헤어지지만 다신 너를 볼 수 없지만 마지막으로 부탁 하나 할께 눈물 맺힌 너에게 나 할 수 있는 건 편하게 너를 보내주는 일 나와 닮은 너에게 나완 다른 그에게 조금은 어색하고 하기 힘든 말 사랑한 기억도 고마운 기억도 모두 잊길 바래 내 눈물까지 아파하지 말고 돌아보지 말고 이제 행복하게만 살아줘 오래 전에 알았어 나 아닌 사람이 니 맘을 모두 가져버린 걸 나와 닮은 너에게 나완 다른 그에게 아무리 애를 써도 하기 싫은 말 사랑한 기억도 고마운 기억도 모두 잊길 바래 내 눈물까지 아파하지 말고 돌아보지 말고 이제 행복하게만 살아줘 미안해 하진마 후회하진 마 나보다 그가 훨씬 더 잘해줄꺼야 그의 품에 안겨서 까맣게 나를 잊고서 늘 웃고 사는게 날 위한 이별이니까 괜찮아질꺼야 익숙해질꺼야 혼자하는 사랑 힘이 들어도 떠나가는 너를 돌아서는 너를 몰래 내 가슴속에 두면 돼,슬픔
거리에서,성시경,니가 없는 거리에는 내가 할일이 없어서 마냥 걷다 걷다보면 추억을 가끔 마주치지 떠오르는 너의 모습 내 살아나는 그리움 한번에 참 잊기 힘든 사람이란걸 또 한번 느껴지는 하루 어디쯤에 머무는지 또 어떻게 살아가는지 걷다보면 누가 말해줄 것 같아 이 거리가 익숙했던 우리 발걸음이 나란했던 그리운 날들 오늘밤 나를 찾아온다 널 그리는 널 부르는 내 하루는 애태워도 마주친 추억이 반가워 날 부르는 목소리에 돌아보면 텅빈 거리 어느새 수많은 니모습만 가득해 막다른길 다다라서 낯익은 벽 기대보며 가로등 속 환히 비춰지는 고백하는 니가 보여 떠오르는 그때모습 내 살아나는 설레임 한번에 참 잊기 힘든 순간이란 걸 또 한번 느껴지는 하루 아직 나를 생각할지 또 그녀도 나를 찾을지 걷다보면 누가 말해줄 것 같아 이 거리가 익숙했던 우리 발걸음이 나란했던 그리운 날들 오늘밤 나를 찾아온다 널 그리는 널 부르는 내 하루는 애태워도 마주친 추억이 반가워 날 부르는 목소리에 돌아보면 텅빈 거리 어느새 수 많은 니 모습만 가득 부풀은 내 가슴이 밤 하늘에 외쳐본다 이 거리는 널 기다린다고 널 그리는 널 부르는 내 하루는 애태워도 마주친 추억이 반가워 날 부르는 목소리에 돌아보며 텅빈거리 어느새 수 많은 니 모습만 가득해,중립
