노래제목,가수,가사,대표 감정
So Hot,원더걸스,왜 자꾸 쳐다보니 왜 내가 그렇게 예쁘니 아무리 그렇다고 그렇게 쳐다보면 내가 좀 쑥스럽잖니 내가 지나갈 때 마다 고갤 돌리는 남자들 뒤에서 느껴지는 뜨거운 시선들 어떻게 하면 좋을지 I'm so hot 난 너무 예뻐요 I'm so fine 난 너무 매력있어 I'm so cool 난 너무 멋져 I'm so so so hot hot 언제나 나를 향한 눈길들이 항상 따라오는 이 남자들이 익숙해 질 때도 된 것 같은데 왜 아직 부담 스러운지 조용히 살고 싶은데 다른 여자애들처럼 엄마는 왜 날 이렇게 낳아놔서 내 삶을 피곤하게 하는지 I'm so hot 난 너무 예뻐요 I'm so fine 난 너무 매력있어 I'm so cool 난 너무 멋져 I'm so so so hot hot I'm so hot 난 너무 예뻐요 I'm so fine 난 너무 매력있어 I'm so cool 난 너무 멋져 I'm so so so hot hot Everybody Watching me Cause I'm hot hot Everybody Wanting me Cause I'm hot hot 언제나 어디서나 날 따라 다니는 이 스포트 라이트 어딜가나 쫓아오지 식당 길거리 카페 나이트 도대체 얼마나 나일 들어야 이 놈의 인기는 사그러들지 원 섹시한 내눈은 고소영 아름다운 내 다린 좀 하지원 어쩌면 좋아 모두 나를 좋아 하는 것 같애 oh no please leave me alone all the boys be loving me girls be hating me they will never stop Cause they know I'm so hot hot I'm so hot 난 너무 예뻐요 I'm so fine 난 너무 매력있어 I'm so cool 난 너무 멋져 I'm so so so hot hot,놀라움
하루 하루,BIGBANG (빅뱅),떠나가 Ye the finally I reallize That I`m nu`ttin without you I was so wrong forgive me 파도처럼 부서진 내맘 바람처럼 흔들리는 내 맘 연기처럼 사라진 내 사랑 문신처럼 지워지지 않아 한숨만 땅이 꺼지라 쉬죠 내 가슴속에 먼지만 쌓이죠 Say good bye Ye 네가 없이는 단 하루도 못 살것만 같았던 나 생각과는 다르게도 그럭저럭 혼자 잘 살아 보고싶다고 불러봐도 넌 아무 대답없잖아 헛된 기대 걸어봐도 이젠 소용없잖아 네 옆에 있는 그 사람이 뭔지 혹시 널 울리진 않는지 그대 내가 보이긴 하는지 벌써 싹 다 잊었는지 걱정돼 다가가기 조차 말을 걸 수 조차 없어 애 태우고 나 홀로 밤을 지새우죠 수백번 지워내죠 돌아보지 말고 떠나가라 또 나를 찾지 말고 살아가라 너를 사랑했기에 후회 없기에 좋았던 기억만 가져가라 그럭저럭 참아볼만해 그럭저럭 견뎌낼만해 넌 그럴수록 행복해야돼 하루하루 무뎌져 가네 Oh girl I cry cry yo my all Say good bye 길을 걷다 너와 나 우리 마주친다 해도 못 본척 하고서 그대로 가던 길 가줘 자꾸만 옛 생각이 떠오르면 아마도 나도 몰래 그댈 찾아 갈지도 몰라 넌 늘 그 사람과 행복하게 넌 늘 내가 다른 맘 안 먹게 넌 늘 작은 미련도 안 남게끔 잘 지내줘 나 보란 듯이 넌 늘 저 하늘같이 하얗게 뜬 구름과도 같이 새파랗게 넌 늘 그래 그렇게 웃어줘 아무일 없듯이 돌아보지 말고 떠나가라 또 나를 찾지 말고 살아가라 너를 사랑했기에 후회 없기에 좋았던 기억만 가져가라 그럭저럭 참아볼만해 그럭저럭 견뎌낼만해 넌 그럴수록 행복해야돼 하루하루 무더져 가네 나를 떠나서 맘 편해지길 나를 잊고서 살아가줘 그 눈물은 다 마를 테니 ye 하루하루 지나면 차라리 만나지 않았더라면 덜 아플텐데 영원히 함께하자던 그 약속 이젠 추억에 묻어두길 바래 baby 널 위해 기도해 돌아보지 말고 떠나가라 또 나를 찾지 말고 살아가라 너를 사랑했기에 후회 없기에 좋았던 기억만 가져가라 그럭저럭 참아볼만해 그럭저럭 견뎌낼만해 넌 그럴수록 행복해야돼 하루하루 무뎌져 가네 Oh girl I cry cry Yo my all say goodbye bye Oh my love don`t lie lie Yo my heart say good bye,슬픔
Love,브라운아이드걸스,야릇야릇한 널 향한 나의 맘 들리니 I need you I love you 이런이런 날 어서 가져가줘 들리니 I need you I love you Oh 내 맘을 담아 날리는 내 kiss 너를 향한 사랑 담아 넌 아직 잘 모를 거야 내 맘이 어떤지 알면서도 이렇게 날 혼자 둔거니 L O V E 사랑이란 이름 아래 난 내 맘 대 로 지 이 너도 역시 날 좋아하고 있을 거라고 믿는다네 난 너를 그려 매 순간에 하루 종일 현실을 난 망각해 하지만 이럴 수 밖에 아른아른한 너의 목소리 들리니 I need you I love you 나긋나긋이 난 대답하겠지 들리니 I need you I love you 야릇야릇한 널 향한 나의 맘 들리니 I need you I love you 이런이런 날 어서 가져가줘 들리니 I need you I love you L O V E L O V E L O V E L O V E 아이 그러지 말고 얘기를 해봐 늦기 전에 말을 해봐 나 아닌 누군가로는 안되는 걸 알아 깐깐한 널 알잖아 나 밖엔 없잖아 내게 다가올 듯 말듯한 네 행동에 다른 사람들은 모르는 듯 해 언제나 니 시선의 그 끝은 바로 나나나 나였어 처음부터 느끼던 바였어 그대여 용기를 내 어서 솔직해져 봐 yeah that's all 아른아른한 너의 목소리 들리니 I need you I love you 나긋나긋이 난 대답하겠지 들리니 I need you I love you 야릇야릇한 널 향한 나의 맘 들리니 I need you I love you 이런이런 날 어서 가져가줘 들리니 I need you I love you I need you I want you I love you L O V E Fly 너와 함께라면 난 Cry I don't cry no more aiight 네 세계로 내가 들어가게 나에게로 다가와줘 ma babe 그 누가 나를 차지해도 I want you need you love you babe Is it all right Is it all right 그렇지 않잖아 모든 게 차이나 내 웃음 뒤에 숨긴 눈물이 흘러 내려 버리기 전에 나의 손을 잡아줘 그리고 내게 말해줘 L O V E 아른아른한 너의 목소리 들리니 I need you I love you 나긋나긋이 난 대답하겠지 들리니 I need you I love you 야릇야릇한 널 향한 나의 맘 들리니 I need you I love you 이런이런 날 어서 가져가줘 들리니 I need you I love you,기쁨
Nobody,원더걸스,You Know I still Love You Baby And it will never change I want nobody nobody But You I want nobody nobody But You 난 다른 사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody 난 싫은데 왜 날 밀어내려고 하니 자꾸 내 말은 듣지 않고 왜 이렇게 다른 남자에게 날 보내려 하니 어떻게 이러니 날 위해 그렇단 그 말 넌 부족하다는 그 말 이젠 그만해 넌 나를 알잖아 왜 원하지도 않는 걸 강요해 I want nobody nobody But You I want nobody nobody But You 난 다른 사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody I want nobody nobody But You I want nobody nobody But You 난 다른 사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody 난 좋은데 난 행복한데 너만 있으면 돼 더 바랄게 없는데 누굴 만나서 행복하란 거야 난 널 떠나서 행복할 수 없어 날 위해 그렇단 그 말 넌 부족하다는 그 말 말이 안 되는 말이란 걸 왜 몰라 니가 없이 어떻게 행복해 I want nobody nobody But You I want nobody nobody But You 난 다른 사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody I want nobody nobody But You I want nobody nobody But You 난 다른 사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody I don't want nobody body I don't want nobody body 나는 정말 니가 아니면 니가 아니면 싫단 말야 아 I want nobody nobody But You I want nobody nobody But You 난 다른 사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody I want nobody nobody But You I want nobody nobody But You 난 다른 사람은 싫어 니가 아니면 싫어 I want nobody nobody nobody nobody Back to the days when we were so young and wild and free 모든게 너무나 꿈만 같았던 그 때로 돌아가고 싶은데 왜 자꾸 나를 밀어내려 해 why do you push me away I don't want nobody nobody Nobody nobody but you,슬픔
"서커스 (Feat. 임유경 - 달래 음악단 , ＄howgun)",MC몽,찬바람 불 때 내게 와 줄래 세상이 모질게 그댈 괴롭힐 때 신나게 놀자 웃자 한바탕 하 하 하 하 하 하 이 밤이 다 할 때까지 일명 악바리 나 돈벌이에 충실했던 예능계의 별이요 까불대던 몽이요 빛 따라 흔들흔들 따라갔던 딴따라 초심을 잃지 말고 음악하란 벌이다 관객들은 제페토 몽이는 피노키오 가끔은 대중을 속고 속이는 피노키오 거짓과 진실 그대들의 답이요 길고 짧은 건 눈대중으로 대충 키 높이요 Ready get set go 대포로 발사 온 몸을 날려 버리고 Ready get set go 대포로 발사 눈물을 날려 버리고 아무리 뻔뻔한 시츄에이션 엇갈리더라도 Just have some fun Show's Just begun 4번째 앨범 몽이와 함께 서커스에 모두 Welcome 찬바람 불 때 내게 와 줄래 세상이 모질게 그댈 괴롭힐 때 신나게 놀자 웃자 한바탕 하 하 하 하 하 하 이 밤이 다 할 때까지 전 국민 좌절금지 프로젝트 서커스 음악에 오직 그대만을 비춘 포커스 일등과 꼴찌 승자와 패자 칼이라도 뽑았으면 무라도 베자 눈물조차 아까워서 메마른 사람들 방 한 칸에 허덕여서 가난한 사람들 시련에 쓰린 상처 통곡한 사람들 전국민 좌절금지 프로젝트 서커스 Ready get set go 대포로 발사 온 몸을 날려 버리고 Ready get set go 대포로 발사 눈물을 날려 버리고 어차피 인생은 시트콤 누가 뭐라건 자기 밥그릇은 정해져 있는 법 Show's Just begun 4번째 앨범 몽이와 함께 서커스에 모두 Welcome 찬바람 불 때 내게 와 줄래 세상이 모질게 그댈 괴롭힐 때 신나게 놀자 웃자 한바탕 하 하 하 하 하 하 이 밤이 다 할 때까지 더 이상 울지 말아요 기가 막힌 세상 아픔은 잊어요 시간 맞춰 꼭 늦지 마세요 어서 모이세요 신나는 몽이 유랑단 찬바람 불 때 내게 와 줄래 세상이 모질게 그댈 괴롭힐 때 신나게 놀자 웃자 한바탕 하 하 하 하 하 하 신나는 몽이 유랑단,혐오
마지막 인사,BIGBANG (빅뱅),yes bigbang is back most definitely hey move b to the i to g bang bang b to the i to g bang bang b to the i to g bang bang about love i don't wanna be with out you girl 마지막 인사는 접어두길 바래 오늘 단 하루만큼은 i don't wanna be with out you girl 내 서툰 마음 까지 안고 가줘 i love you i need you girl baby baby baby 조금 어색하지만 서로 baby baby baby 아직 사랑하고 있는데 baby baby baby 두렵기는 하지만서도 끝이 보이지만 난 그래도 only you girl 상처만 가득히 모질게 날 대하던 너 어르고 달래 또 반복돼 널 피하던 나 어디서부터 어긋났을까 기나긴 고민 해답없는 문제속에 헤매여 난 미로 미로 속에 갇힌 길 잃은 방랑자 마냥 이도저도 못해 난 마냥 기다리기만 할 뿐 사뿐 사뿐히 내게 다가와주길 girl 우리 처음 만난 때 처럼 풋풋하던 그때 처럼 이런 이런 이런 저런 저런 저런 너와 내 사이의 끈 절대 놓지 말어 i don't wanna be with out you girl 마지막 인사는 접어두길 바래 오늘 단 하루만큼은 i don't wanna be with out you girl 내 서툰 마음 까지 안고 가줘 i love you i need you girl baby baby baby 조금 어색하지만 서로 baby baby baby 아직 사랑하고 있는데 baby baby baby 두렵기는 하지만서도 끝이 보이지만 난 그래도 only you girl 아무런 말 없이 떠나 연락없고 아무 말 않고 그러다 어느날 갑자기 나타나고 무슨 일 있었냔 듯 날 갖고 노는 건지 이게 사랑이 맞는 건지 하루에도 열두번 더 헷갈리고 about love 한 두번 갖고 놀던 장난감 넌 뭘 원했냐고 되물어봤어 달콤함은 아주 잠깐 우린 너무쉽게 녹아버린 솜사탕 지친 가슴 이젠 나도 막지 못 할 것만 같아 어서 날 잡아줘 떠나가기 전에 i don't wanna be with out you girl 마지막 인사는 접어두길 바래 오늘 단 하루만큼은 i don't wanna be with out you girl 내 서툰 마음 까지 안고 가줘 i love you i need you girl baby baby baby 조금 어색하지만 서로 baby baby baby 아직 사랑하고 있는데 baby baby baby 두렵기는 하지만서도 끝이 보이지만 난 그래도 only you girl 여전히 널 사랑하지만 내게는 너무나 소중하지만 ye 누구도 네 자릴 메꿀 수 없는걸 i know you know그냥 조용히 날 안아줘 i don't wanna be with out you girl 마지막 인사는 접어두길 바래 오늘 단 하루만큼은 i don't wanna be with out you girl 내 서툰 마음 까지 안고 가줘 i love you i need you girl baby baby baby 조금 어색하지만 서로 baby baby baby 아직 사랑하고 있는데 baby baby baby 두렵기는 하지만서도 끝이 보이지만 난 그래도 only you girl b to the i to g bang bang b to the i to g bang bang b to the i to g bang bang come on come on come on b to the i to g bang bang b to the i to g bang bang 끝이 보이지만 난 그래도 only you girl about love,슬픔
사랑과 전쟁 (Narr. 하하),다비치,나 있잖아 너 없으면 죽을꺼 같애 내 눈은 두개인데 왜 너 하나 밖에 안보이는걸까 시끄럽고 너 어제 누구랑있었어 나 좋다고 매달릴 땐 언제고 매달린 정돈 아니고 누구랑 있었냐고 야 아니거든요 나 집에 있었거든요 엄마가 밥해줬거든요 두 번 다시 바람 피지마 니가 매달려 만난거잖아 어떻게 날 두고 다른 여자를 만날 수 있니 내게 더 정말 멋진남자들 가끔은 내게 다가와 흔들릴 때도 있어 넌 몰라 이젠 제발 정신 좀 차려 어제 너 누구랑 있었어 친구에게 전화가왔어 니가 다른여자와 있었다고 솔직히 너 한 번 말해봐 나보다 더 매력있니 아니면 이젠 내가 너는 지겨운거니 두 번 다시 바람 피지마 니가 매달려 만난거잖아 어떻게 날 두고 다른 여자를 만날 수 있니 내게 더 정말 멋진남자들 가끔은 내게 다가와 흔들릴 때도 있어 넌 몰라 이젠 제발 정신 좀 차려 Oh my lover Oh my you baby Oh my lover Oh my you baby Oh my lover Oh my you baby Oh my lover Oh my you baby 거짓말 오 이런 얘기 재미 없어 오늘부로 우린 망했어 화내지 마 아주 잠깐 우린 너무 완소커플 킹왕짱 도끼는 들지마 후덜덜 우리사랑 we belong together 넌 나의 태양 넌 나의 바다 요즘따라 정말 이상해 평소에는 안그랬는데 내게 장미꽃을 선물했던 너 다른 여자와 있었던게 그게 너무 미안해서 그래서 내게 더 잘해준 걸 몰랐어 두 번 다시 바람 피지마 니가 매달려 만난거잖아 어떻게 날 두고 다른 여자를 만날 수 있니 내게 더 정말 멋진남자들 가끔은 내게 다가와 흔들릴 때도 있어 넌 몰라 이젠 제발 정신 좀 차려 두 번 다시 보기 싫지만 널 차버려도 할 말 없지만 그래도 아직은 내가 너를 너무 사랑해 거짓말한거 정말 싫지만 이번 한 번만 용서해 다시 이런 일 없게 해줄래 이젠 나만 사랑해줄래 Oh my lover Oh my you baby Oh my lover Oh my you baby Oh my lover Oh my you baby Oh my lover Oh my you baby,두려움
U-Go-Girl (With 낯선),이효리,Hey girl It's the princess LEE HYO REE She's Back Yeah 2008 You ready Hey girl Girl girl Hey u go girl De le De le that that that girl Girl girl Hey u go girl Baby baby baby baby girl Say what 오늘은 또 어떤 옷을 입어야할지 머리는 또 어떻게 만져야 좋을지 이건 어떠니 또 저건 어떠니 고민 고민하지마 Girl 오늘은 또 어떤 말을 해야하는지 어떻게 내 마음을 전해야 좋을지 이건 어떠니 또 저건 어떠니 고민 고민하지마 Girl Girl hey U go girl De le De le that that that girl Girl hey U go girl Baby baby baby baby girl 이제부터 솔직하게 이제부터 당당하게 너의 맘을 보여줘 바로 이 순간 지금 이 순간 tonight 가끔씩은 달콤하게 가끔씩은 강렬하게 너의 맘을 보여줘 바로 이 순간 지금 이 순간 tonight Girl girl Hey u go girl De le De le that that that girl Girl girl Hey u go girl Baby baby baby baby girl 오늘은 또 어쩐 일로 나를 부르지 혹시나 또 무슨 일이 생긴건지 이걸 어쩌지 또 저걸 어쩌지 고민 고민하지마 Girl 그 사람도 좋아할까 마음 졸이며 주머니 속 작은 동전 하나 꺼내서 앞면이 나올지 뒷면이 나올지 고민 고민하지마 Girl Girl hey U go girl De le De le that that that girl Girl hey U go girl Baby baby baby baby girl 이제부터 솔직하게 이제부터 당당하게 너의 맘을 보여줘 바로 이 순간 지금 이 순간 tonight 가끔씩은 달콤하게 가끔씩은 강렬하게 너의 맘을 보여줘 바로 이 순간 지금 이 순간 tonight Crazy night Dance All Night Let Me Take U Home Tonight It's allright Hey girl party tonight Crazy night Dance All Night Let Me Take U Home Tonight It's allright Hey girl party tonight Girl girl Hey u go girl De le De le that that that girl Girl girl Hey u go girl Baby baby baby baby girl Girl girl Hey u go girl De le De le that that that girl Girl girl Hey u go girl Baby baby baby baby girl I like that that that girl and Let Me SeeYa bring it back back back girl OK I like that that that girl and Let Me SeeYa bring it back back back girl One more time baby I like that that that girl and Let Me SeeYa bring it back back back girl OK I like that that that girl and Let Me SeeYa bring it back back back girl Girl,Error
천국,BIGBANG (빅뱅),사랑해 난 널 기억해 heaven 라라 라라라 라라 라라라 라라 라라 라라 라라라 라라 라라라 라라 라라라 라라 라라 라라 라라라 24 7 그댄 영원한 heaven 24 7 그댄 나만의 heaven 24 7 그댄 영원한 heaven 24 7 heaven 마지막인줄 알았던 두 번 다시 안 올 줄 알았던 내게 전혀 어울리지 않았던 사랑이 어느 무더운 여름 날 다가왔죠 기다리고 기다리던 나의 반쪽 항상 널 꿈꿔왔죠 넌 내 맘의 안식처 보고 또 보고 주고 또 주고만 싶죠 난 설레임에 목말라 왜 내 사랑은 다 도망가 뜻대로 되지 않아 속만 타 알다가도 모르겠다 그래도 너만은 놓치고 싶지가 눈 앞에서 멀어지고 싶지가 않아 you are the one in my life 그댄 천국보다 아름답다 너를 사랑해 너를 부르네 너를 기억해 너를 기다리네 그대의 말 한마디 사랑한다는 그 한마디 너를 사랑해 너를 기억해 너의 전불 기억해 기쁨 슬픔 눈물 하늘 별 그리고 천국 내 모든 생활 속에 그대가 숨을 쉬고 나의 전화기엔 어느새 너의 이름만 보이고 하루에도 몇 번씩 너의 그 손을 붙잡고 입 맞추면 세상을 다 가진 기분야 oh baby 매일 들어가는 미니홈피 달콤한 향기 oh baby 내 사랑을 전하기엔 짧은 문자메세지 사람들이 놀려대 하루 왠종일 행복해 oh baby 요즘 참 살만 해 becuz of you 너를 사랑해 너를 부르네 너를 기억해 너를 기다리네 그대의 말 한마디 사랑한다는 그 한마디 너를 사랑해 너를 기억해 하루하루가 두렵지만 네가 또 떠나갈까봐 내게서 희미해질까봐 너무 감사해 너무 사랑해 내 맘의 천국문의 단 한 사람아 너를 사랑해 너를 부르네 너를 기억해 너를 기다리네 그대의 말 한마디 사랑한다는 그 한마디 너를 사랑해 너를 기억해 너의 전불 기억해 24 7 heaven,슬픔
가지마 가지마,브라운 아이즈,우리 함께했던 날들 그 기억들만 남아 너를 지워야만 내가 살 수 있을까 우리 함께했던 날들 자꾸만 너 떠올라 너를 보내야만 내가 살 수 있을까 가지마 떠나지마 제발 가지마 사랑하잖아 가지마 나 혼자 남겨두고 제발 제발 제발 가지마 가지마 가지마 아직 너를 위해 바보처럼 살아가는데 너는 어디에 니가 필요한데 oh baby 내 사람아 이제 그만 내게 돌아와줘 장난처럼 그렇게 돌아와 항상 너만을 위해서 살아가고 싶지만 때론 그 사랑마저도 힘이 들잖아 가지마 떠나지마 제발 가지마 사랑하잖아 가지마 나 혼자 남겨두고 제발 제발 제발 가지마 가지마 가지마 아직 너를 위해 바보처럼 살아가는데 너는 어디에 니가 필요한데 oh baby 내 사람아 이제 그만 내게 돌아와줘 장난처럼 그렇게 돌아와 아프고 아플만큼 지치고 지칠만큼 지워봐도 참아봐도 니가 떠올라 너도 나처럼 아프잖아 너도 나처럼 힘들잖아 돌아와 내게로 잊지 못할 내 사람아 아직 너를 위해 바보처럼 살아가는데 너는 어디에 니가 필요한데 oh baby 내 사람아 이제 그만 내게 돌아와줘 장난처럼 그렇게 oh baby 내 사람아 이제 그만 내게 돌아와줘 그때처럼 그렇게 돌아와,분노
